City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,es castell,39.8795,4.2854,26.38,73,0,3.09,ES,1691608200
83,papatowai,-46.5619,169.4708,1.83,86,91,2.54,NZ,1691608550
84,saipan,15.1355,145.701,27.58,100,100,3.6,MP,1691608159
85,ko pha ngan,9.7578,100.0291,25.83,73,9,7.68,TH,1691608637
86,whitehorse,60.7161,-135.0538,18.39,55,15,5.36,CA,1691608130
87,bridlington,54.0831,-0.1919,16.96,78,100,2.24,GB,1691608638
88,fort bragg,35.139,-79.006,32.73,46,86,0.89,US,1691608099
89,kokopo,-4.352,152.2633,24.75,86,19,7.03,PG,1691608638
90,baharly,38.4362,57.4316,32.6,23,0,0.88,TM,1691608638
91,sitka,57.0531,-135.33,13.94,94,100,1.54,US,1691608567
92,fukuecho,32.6881,128.8419,27.3,91,100,19.65,JP,1691608612
93,tolanaro,-25.0319,46.9987,19.75,88,6,3.84,MG,1691608640
94,bayganin,48.6947,55.8742,24.33,39,0,4.52,KZ,1691608613
95,marsh harbour,26.5412,-77.0636,30.72,67,33,2.94,BS,1691608641
96,ancud,-41.8697,-73.8203,10.6,92,100,6.28,CL,1691608120
97,hastings,50.8552,0.5729,20.44,32,7,3.13,GB,1691608615
98,bakchar,57.0186,82.0711,14.07,80,100,2.16,RU,1691608641
99,college,64.8569,-147.8028,18.78,88,100,0.0,US,1691608570
100,blackmans bay,-43.0167,147.3167,12.07,75,100,4.0,AU,1691608562
101,kokuy,52.2037,117.5529,17.28,55,72,1.85,RU,1691608642
102,broken hill,-31.95,141.4333,10.72,53,13,3.82,AU,1691608550
103,longyearbyen,78.2186,15.6401,10.91,58,0,1.54,SJ,1691608102
104,wailua homesteads,22.0669,-159.378,29.24,77,75,9.77,US,1691607879
105,kerikeri,-35.2268,173.9474,6.73,92,2,1.87,NZ,1691608019
106,margaret river,-33.95,115.0667,10.48,77,100,1.61,AU,1691607980
107,yeed,4.55,43.0333,28.53,43,100,9.15,SO,1691608643
108,dundee,56.5,-2.9667,17.67,77,40,5.66,GB,1691608643
109,san andres,12.5847,-81.7006,31.01,74,20,4.12,CO,1691608643
110,kailua-kona,19.6406,-155.9956,27.98,71,20,4.12,US,1691608643
111,burley,42.5357,-113.7928,27.98,32,0,2.06,US,1691608644
112,lebu,-37.6167,-73.65,12.15,93,100,8.82,CL,1691607980
113,naze,28.3667,129.4833,25.51,88,65,6.26,JP,1691608582
114,valley city,46.9233,-98.0032,23.29,60,20,2.57,US,1691608644
115,hadibu,12.65,54.0333,25.69,80,74,7.11,YE,1691608121
116,mbabane,-26.3167,31.1333,9.98,94,36,0.94,SZ,1691608645
117,iskateley,67.6803,53.1512,13.47,79,38,2.25,RU,1691608171
118,rongelap,11.1635,166.8941,27.81,76,29,2.22,MH,1691608646
119,lobito,-12.3481,13.5456,20.19,84,91,1.28,AO,1691608646
120,wuhai,39.6647,106.8122,27.47,56,20,9.06,CN,1691608646
121,al jawf,29.5,38.75,34.64,15,0,3.73,SA,1691608164
122,tamanrasset,22.785,5.5228,29.95,26,40,5.66,DZ,1691608585
123,cloquet,46.7216,-92.4594,24.18,67,40,2.57,US,1691608647
124,tutoia,-2.7619,-42.2744,27.96,71,16,5.96,BR,1691608647
125,jerantut,3.936,102.3626,23.31,98,75,0.63,MY,1691608647
126,urengoy,65.9667,78.3667,8.66,93,100,7.0,RU,1691608647
127,tamiahua,21.2667,-97.45,32.55,60,0,6.19,MX,1691608648
128,nehe,48.4833,124.8333,16.93,98,93,2.79,CN,1691608648
129,el calafate,-50.3408,-72.2768,3.44,89,37,0.75,AR,1691608005
130,merizo village,13.2658,144.6691,26.31,97,100,7.89,GU,1691608565
131,port blair,11.6667,92.75,28.02,83,75,2.57,IN,1691608648
132,vadso,70.0744,29.7487,23.49,77,20,4.63,NO,1691607927
133,kone,-21.0595,164.8658,15.83,78,60,2.01,NC,1691608591
134,suwayr,30.1171,40.3893,33.52,19,0,4.45,SA,1691608649
135,kenai,60.5544,-151.2583,13.41,94,100,2.57,US,1691608619
136,kavalerovo,44.2661,135.0572,16.92,100,100,0.91,RU,1691608152
137,mingyue,43.1069,128.9217,18.64,99,100,1.27,CN,1691608649
138,horta,38.5333,-28.6333,25.01,85,20,5.14,PT,1691608175
139,gannan,47.9147,123.5031,17.47,91,100,4.08,CN,1691608650
140,kimbe,-5.5502,150.1429,24.92,81,29,4.85,PG,1691608650
141,st. john's,47.5649,-52.7093,15.64,82,75,5.66,CA,1691608571
142,ribeira grande,38.5167,-28.7,25.43,83,20,5.14,PT,1691607982
143,kangding,30.0513,101.9603,17.31,97,100,0.89,CN,1691608627
144,udachny,66.4167,112.4,15.25,50,100,3.34,RU,1691608089
145,yellowknife,62.456,-114.3525,19.75,44,7,6.96,CA,1691608125
146,la'ie,21.6477,-157.9253,28.66,69,80,10.46,US,1691608651
147,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1691608555
148,magadan,59.5667,150.8,10.61,71,78,3.97,RU,1691608651
